# Source: European Commission EU Pesticides Database backend API
# Endpoint: https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/backend/api/product/76/mrls?lang=EN
# Product: Mangoes (Mangifera indica)
# Product code: 0163030
# Extracted: 2026-04-05
# Raw Commission row count: 520
# Merged unique operational row count: 516
# Explicit no-numeric-MRL row count: 13
# Official default fallback when no specific mango row exists: 0.01 mg/kg (Regulation (EC) No 396/2005 Article 18(1)(b); see Commission database footnotes such as Fosetyl).
name,aliases,cas,thaiMrl,destinationMrl,destinationLimitType,sourceRef,note
"1,1-dichloro-2,2-bis(4-ethylphenyl)ethane (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"1,2-dibromoethane (ethylene dibromide) (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"1,2-dichloroethane (ethylene dichloride) (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"1,3-Dichloropropene",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"1,4-dimethylnaphthalene (R),(F)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,"Footnotes: There is evidence that 1,4-dimethylnaphthalene could naturally occur in some plant compounds. Based on currently available monitoring data a temporary MRL is set at a value of 0.05 mg/kg pending the submission of further monitoring data to confirm it. When reviewing the MRL, the Commission will take into account the information, if it is submitted by 2 August 2024, or, if that information is not submitted by that date, the lack of it."
"1-Naphthylacetamide and 1-naphthylacetic acid (sum of 1-naphthylacetamide and 1-naphthylacetic acid and its salts, expressed as 1-naphythlacetic acid)",,,,0.06,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.06*
1-methyl-3-(trifluoromethyl)-1H-pyrazole-4-carboxamide (PAM),,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL. | Footnotes: mrl will not apply || No MRLs are applicable until individual products have been identified and listed within this category
1-methylcyclopropene,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"2,4,5-T (sum of 2,4,5-T, its salts and esters, expressed as 2,4,5-T) (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"2,4-D (sum of 2,4-D, its salts, its esters and its conjugates, expressed as 2,4-D)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
"2,4-DB (sum of 2,4-DB, its salts, its esters and its conjugates, expressed as 2,4-DB) (R)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"2,5-dichlorobenzoic acid methylester (sum of 2,5-dichlorobenzoic acid and its ester expressed as 2,5-dichlorobenzoic acid methylester)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"2-amino-4-methoxy-6-(trifluormethyl)-1,3,5-triazine (AMTT), resulting from the use of tritosulfuron (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
2-naphthyloxyacetic acid,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"2-phenylphenol (sum of 2-phenylphenol and its conjugates, expressed as 2-phenylphenol) (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
3-decen-2-one,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
6-Benzyladenine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"8-hydroxyquinoline (sum of 8-hydroxyquinoline and its salts, expressed as 8-hydroxyquinoline)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Abamectin (sum of avermectin B1a, avermectin B1b and delta-8,9 isomer of avermectin B1a, expressed as avermectin B1a) (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Acephate,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Acequinocyl (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Acetamiprid (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Acetochlor,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Acibenzolar-S-methyl (sum of acibenzolar-S-methyl and acibenzolar acid (free and conjugated), expressed as acibenzolar-S-methyl)",,,,0.6,NUMERIC,EC EU Pesticides Database product/76,"Footnotes: The European Food Safety Authority identified some information on residue trials as unavailable. When re-viewing the MRL, the Commission will take into account the information referred to in the first sentence, if it is submitted by 26 June 2016, or, if that information is not submitted by that date, the lack of it."
Aclonifen,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Acrinathrin (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Alachlor,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Aldicarb (sum of aldicarb, its sulfoxide and its sulfone, expressed as aldicarb)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
