# Source checked: 2026-04-04
# Primary-source basis:
# - MAFF Plant Protection Station Thailand mango standard for non-pesticide import conditions
# - CAA residue standards page: Japan positive-list framework and MRL reference surface
# - CAA Food Classification PDF: Mango listed under Assorted tropical and sub-tropical fruits
# - MHLW legacy residue standards page / Notification No. 497: 0.01 mg/kg uniform fallback when no specific MRL exists
# Supporting numeric source:
# - JFCRF Mango commodity table https://db.ffcr.or.jp/front/food_group_detail?id=11600
# - JFCRF glossary: N.D. = Not Detected; ※ = no more than physiological level contained naturally
# Scope:
# - Current commodity-specific snapshot row count: 191
# - Exhaustive commodity snapshot as retrieved on 2026-04-04
name,aliases,cas,thaiMrl,destinationMrl,destinationLimitType,sourceRef,note
1-NAPHTHALENEACETIC ACID,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Ab2022
4-CPA,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
ABAMECTIN,,,,0.01,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.01 mg/kg | Basis Aa2018
ACEQUINOCYL,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ab2010
ACETAMIPRID,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2010
ACRINATHRIN,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ab2019
ALANYCARB,,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
ATRAZINE,,,,0.02,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.02 mg/kg | Basis Bh2006
AZOXYSTROBIN,,,,1.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 1 mg/kg | Basis Ab2007
BENALAXYL,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
"BENOMYL (repeated/see CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL)",,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
BIFENAZATE,,,,0.2,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.2 mg/kg | Basis Ab2014
BIFENTHRIN,,,,0.5,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.5 mg/kg | Basis Ac2023
BILANAFOS (BIALAPHOS),,,,0.004,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.004 mg/kg | Basis Bh2006
BIORESMETHRIN,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Ag2006
BITERTANOL,,,,0.05,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.05 mg/kg | Basis Bh2006
BRODIFACOUM,,,,0.001,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.001 mg/kg | Basis Bh2006
BROFLANILIDE,,,,0.3,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.3 mg/kg | Basis Ab2026
BROMIDE,,,,20.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 20 mg/kg | Basis Ag2006
BROMOPROPYLATE,,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
BUPROFEZIN,,,,0.9,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.9 mg/kg | Basis Ac2010
BUTAFENACIL,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
CAPTAN,,,,5.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 5 mg/kg | Basis Ab2018
"CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL",,,,2.0,NUMERIC,JFCRF food_group_detail:11600,Source MRL 2 mg/kg | Basis Bh2006
CARFENTRAZONE-ETHYL,,,,0.1,NUMERIC,JFCRF food_group_detail:11600,Source MRL 0.1 mg/kg | Basis Bh2006
