# Source checked: 2026-04-04
# Primary-source basis:
# - MAFF Plant Protection Station Thai mangosteen phytosanitary implementation rule
# - CAA residue standards page: Japan positive-list framework and MRL reference surface
# - MHLW residue standards page / Notification No. 497: 0.01 mg/kg uniform fallback when no specific MRL exists
# Supporting numeric source:
# - JFCRF food_group_detail:11900 / Excel export (Other Fruits)
# - JFCRF glossary: N.D. = Not Detected
# Scope:
# - Exhaustive mangosteen-applicable row set from the official 11900 export retrieved on 2026-04-04
# - Official export row count: 248
# - Excluded row count: 1 (GIBBERELLIN, note = acerola)
# - Effective explicit row count for mangosteen: 247
name,aliases,cas,thaiMrl,destinationMrl,destinationLimitType,sourceRef,note
1-NAPHTHALENEACETIC ACID,,,,0.7,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.7 mg/kg | Basis Ac2025
"2,4-D",,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Aa2021
4-CPA,,,,0.02,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.02 mg/kg | Basis Bh2006
ABAMECTIN,,,,0.005,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.005 mg/kg | Basis Aa2018
ACEPHATE,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Ab2018
ACEQUINOCYL,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Ab2010
ACETAMIPRID,,,,5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 5 mg/kg | Basis Ab2015
ACRINATHRIN,,,,0.3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.3 mg/kg | Basis Ab2019
AFIDOPYROPEN,,,,0.2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.2 mg/kg | Basis Ac2020
ALANYCARB,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Bh2006
ALDRIN and DIELDRIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Aa2020
AMETOCTRADIN,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Aa2014
AMISULBROM,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Ab2013
ATRAZINE,,,,0.02,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.02 mg/kg | Basis Bh2006
AZOXYSTROBIN,,,,5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 5 mg/kg | Basis Aa2014
BENALAXYL,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Bh2006
"BENOMYL (repeated/see CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL)",,,,3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 3 mg/kg | Basis Bh2006
BENTHIAVALICARB-ISOPROPYL,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Ab2015
BENZOVINDIFLUPYR,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Ac2017
BIFENAZATE,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Ab2014
BIFENTHRIN,,,,0.3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.3 mg/kg | Basis Ab2007
BILANAFOS (BIALAPHOS),,,,0.004,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.004 mg/kg | Basis Bh2006
BIORESMETHRIN,,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Ag2006
BITERTANOL,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Bh2006
BOSCALID,,,,10,NUMERIC,JFCRF food_group_detail:11900,Source MRL 10 mg/kg | Basis Aa2014
BRODIFACOUM,,,,0.001,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.001 mg/kg | Basis Bh2006
BROMIDE,,,,60,NUMERIC,JFCRF food_group_detail:11900,Source MRL 60 mg/kg | Basis Ag2006
BROMOPROPYLATE,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Bh2006
BUPROFEZIN,,,,5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 5 mg/kg | Basis Aa2014
BUTAFENACIL,,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Bh2006
CAPTAN,,,,10,NUMERIC,JFCRF food_group_detail:11900,Source MRL 10 mg/kg | Basis Aa2019
CARBARYL,,,,30,NUMERIC,JFCRF food_group_detail:11900,Source MRL 30 mg/kg | Source note except fig | Basis Aa2020
"CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL",,,,3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 3 mg/kg | Basis Bh2006
CARBOSULFAN,,,,0.07,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.07 mg/kg | Basis Aa2020
CARFENTRAZONE-ETHYL,,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Bh2006
CHLORANTRANILIPROLE,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Aa2015
CHLORDANE,,,,0.02,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.02 mg/kg | Basis Bh2006
CHLORFENAPYR,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Ab2008
CHLORFENVINPHOS,,,,0.2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.2 mg/kg | Basis Ag2006
CHLOROTHALONIL,,,,5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 5 mg/kg | Basis Ag2006
CHLORPYRIFOS,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Aa2021
CHLORPYRIFOS-METHYL,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Bh2006
CHLORTHAL-DIMETHYL,,,,4,NUMERIC,JFCRF food_group_detail:11900,Source MRL 4 mg/kg | Basis Bh2006
CLODINAFOP-PROPARGYL,,,,0.02,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.02 mg/kg | Basis Bh2006
CLOFENTEZINE,,,,0.5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.5 mg/kg | Basis Aa2026
CLOMAZONE,,,,0.02,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.02 mg/kg | Basis Bh2006
CLOPIDOL,,,,0.2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.2 mg/kg | Basis Bh2006
CLOTHIANIDIN,,,,4,NUMERIC,JFCRF food_group_detail:11900,Source MRL 4 mg/kg | Basis Ag2006
COPPER NONYLPHENOLSULFONATE,,,,5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 5 mg/kg | Basis Bh2006
CYANTRANILIPROLE,,,,0.8,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.8 mg/kg | Basis Aa2022
