# Source: Korea MFDS Food Safety Korea (foodsafetykorea.go.kr)
# Food code: ap105050006 (Mango / 망고)
# Extracted: 2026-04-04
# Official fallback MRL when no specific row exists: 0.01 mg/kg
# Current commodity-specific snapshot row count: 64
# CAS numbers from MFDS infoView.do pesticide records
name,aliases,cas,thaiMrl,destinationMrl,sourceRef,note
Glufosinate(ammonium),글루포시네이트,53369-07-6,,0.05,MFDS foodView:ap105050006,0.05 | 2021-06-29 개정고시 변경
Deltamethrin,델타메트린,52918-63-5,,0.07,MFDS foodView:ap105050006,0.07 | 2020-08-04 개정고시 변경
Dinotefuran,디노테퓨란,165252-70-0,,1.0,MFDS foodView:ap105050006,1.0 | 2021-08-09 개정고시 변경
Dimethomorph,디메토모르프,110488-70-5,,3.0,MFDS foodView:ap105050006,3.0 | 2021-06-29 개정고시 변경
Diethofencarb,디에토펜카브,87130-20-9,,0.7,MFDS foodView:ap105050006,0.7 | 2021-09-30 개정고시 변경
Dithianon,디티아논,3347-22-6,,0.3,MFDS foodView:ap105050006,0.3 | 2019-10-14 개정고시 변경
Difenoconazole,디페노코나졸,119446-68-3,,0.6,MFDS foodView:ap105050006,0.6†
Diflubenzuron,디플루벤주론,35367-38-5,,0.5,MFDS foodView:ap105050006,0.5 | 2021-06-29 개정고시 신설
Lufenuron,루페뉴론,103055-07-8,,0.2,MFDS foodView:ap105050006,0.2
Mandestrobin,만데스트로빈,173662-97-0,,1.0,MFDS foodView:ap105050006,1.0 | 2021-06-29 개정고시 신설
Mandipropamid,만디프로파미드,374726-62-2,,1.5,MFDS foodView:ap105050006,1.5 | 2021-08-09 개정고시 신설
Metaflumizone,메타플루미존,139968-49-3,,0.5,MFDS foodView:ap105050006,0.5 | 2021-08-09 개정고시 변경
Methoxyfenozide,메톡시페노자이드,161050-58-4,,0.5,MFDS foodView:ap105050006,0.5 | 2020-01-14 개정고시 변경
Metconazole,메트코나졸,125116-23-6,,0.7,MFDS foodView:ap105050006,0.7
Milbemectin,밀베멕틴,51596-10-2,,0.05,MFDS foodView:ap105050006,0.05 | 2020-08-04 개정고시 변경
Boscalid,보스칼리드,188425-85-6,,1.5,MFDS foodView:ap105050006,1.5 | 2021-08-09 개정고시 변경
Bifenthrin,비펜트린,82657-04-3,,0.2,MFDS foodView:ap105050006,0.2 | 2020-08-04 개정고시 신설
Cyazofamid,사이아조파미드,120116-88-3,,0.7,MFDS foodView:ap105050006,0.7 | 2021-08-09 개정고시 신설
Cyantraniliprole,사이안트라닐리프롤,736994-63-1,,0.7,MFDS foodView:ap105050006,"0.7† | 2020-08-04 개정고시 신설 2021-08-09 개정고시 변경"
Cyenopyrafen,사이에노피라펜,560121-52-0,,0.3,MFDS foodView:ap105050006,0.3 | 2020-11-26 개정고시 변경
Cypermethrin,사이퍼메트린,52315-07-8,,0.1,MFDS foodView:ap105050006,0.1
Cyprodinil,사이프로디닐,121552-61-2,,0.5,MFDS foodView:ap105050006,0.5
Cyflumetofen,사이플루메토펜,400882-07-7,,0.07,MFDS foodView:ap105050006,0.07 | 2020-11-26 개정고시 변경
Cyhalothrin,사이할로트린,91465-08-6,,0.07,MFDS foodView:ap105050006,0.07 | 2020-11-26 개정고시 변경
Saflufenacil,사플루페나실,372137-35-4,,0.03,MFDS foodView:ap105050006,0.03† | 2012-12-27 개정고시 신설
Sulfoxaflor,설폭사플로르,946578-00-3,,0.07,MFDS foodView:ap105050006,0.07 | 2020-11-26 개정고시 변경
Spinetoram,스피네토람,935545-74-7,,0.05,MFDS foodView:ap105050006,0.05
Spinosad,스피노사드,168316-95-8,,0.1,MFDS foodView:ap105050006,0.1
Spiromesifen,스피로메시펜,283594-90-1,,0.3,MFDS foodView:ap105050006,0.3 | 2020-08-04 개정고시 변경
Spirotetramat,스피로테트라맷,203313-25-1,,0.3,MFDS foodView:ap105050006,0.3†
Abamectin,아바멕틴,71751-41-2,,0.05,MFDS foodView:ap105050006,0.05 | 2020-10-16 개정고시 신설
Acetamiprid,아세타미프리드,135410-20-7,,0.2,MFDS foodView:ap105050006,0.2 | 2020-11-26 개정고시 변경
Acibenzolar acid,아시벤졸라산,126448-41-7,,0.2,MFDS foodView:ap105050006,0.2T
Azoxystrobin,아족시스트로빈,131860-33-8,,0.7,MFDS foodView:ap105050006,0.7†
Emamectin benzoate,에마멕틴벤조에이트,155569-91-8,,0.05,MFDS foodView:ap105050006,0.05
Etofenprox,에토펜프록스,80844-07-1,,0.5,MFDS foodView:ap105050006,0.5 | 2020-08-04 개정고시 변경
Etoxazole,에톡사졸,153233-91-1,,0.1,MFDS foodView:ap105050006,0.1 | 2020-08-04 개정고시 변경
Iminoctadine,이미녹타딘,13516-27-3,,1.0,MFDS foodView:ap105050006,1.0 | 2021-09-30 개정고시 변경
Imidacloprid,이미다클로프리드,138261-41-3,,0.4,MFDS foodView:ap105050006,0.4†
Iprodione,이프로디온,36734-19-7,,1.5,MFDS foodView:ap105050006,1.5 | 2019-10-14 개정고시 변경
Carbaryl : NAC,카바릴,63-25-2,,3.0,MFDS foodView:ap105050006,3.0†
Carbendazim,카벤다짐,10605-21-7,,10,MFDS foodView:ap105050006,10
Chlorantraniliprole,클로란트라닐리프롤,500008-45-7,,0.2,MFDS foodView:ap105050006,0.2 | 2021-09-30 개정고시 변경
Chlorfenapyr,클로르페나피르,122453-73-0,,0.1,MFDS foodView:ap105050006,0.1
Chlorfluazuron,클로르플루아주론,71422-67-8,,0.2,MFDS foodView:ap105050006,0.2
Clothianidin,클로티아니딘,210880-92-5,,0.2,MFDS foodView:ap105050006,0.2 | 2020-08-04 개정고시 변경
Tebuconazole,테부코나졸,107534-96-3,,0.7,MFDS foodView:ap105050006,0.7 | 2021-06-29 개정고시 변경
Trifloxystrobin,트리플록시스트로빈,141517-21-7,,1.5,MFDS foodView:ap105050006,1.5 | 2021-06-29 개정고시 신설
Thiamethoxam,티아메톡삼,153719-23-4,,0.2,MFDS foodView:ap105050006,0.2†
Thiacloprid,티아클로프리드,676228-91-4,,0.2,MFDS foodView:ap105050006,0.2 | 2021-06-29 개정고시 변경
